TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,GPS_FIX,GPS_LAT,GPS_LONG,GPS_ALT,GPS_SPEED,GPS_HDOP,GPS_SATNUM,PM_1,PM_25,PM_10
2020-10-01 02:06:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:06:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:06:25+02:00,23.04,63.11,98.0,0.0,26.69,101.2,8.0,454.0,3.0,41.396685,2.194408,71.36,,224.0,8.0,6.0,6.0,6.0
2020-10-01 02:06:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:06:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:06:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:06:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:06:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:06:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:07:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:07:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:07:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:07:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:07:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:07:25+02:00,23.01,63.08,98.0,0.0,33.72,101.21,8.0,454.0,3.0,41.396688,2.19442,66.49,,226.0,7.0,6.0,6.0,6.0
2020-10-01 02:07:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:07:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:07:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:07:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:07:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:07:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:08:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:08:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:08:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:08:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:08:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:08:25+02:00,23.04,63.11,98.0,0.0,28.74,101.2,8.0,454.0,3.0,41.396778000000005,2.1943770000000002,83.83,,273.0,8.0,7.0,9.0,9.0
2020-10-01 02:08:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:08:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:08:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:08:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:08:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:08:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:09:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:09:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:09:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:09:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:09:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:09:25+02:00,23.02,63.11,98.0,0.0,28.76,101.2,6.0,444.0,3.0,41.396765,2.194379,81.47,,273.0,8.0,5.0,5.0,5.0
2020-10-01 02:09:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:09:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:09:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:09:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:09:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:09:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:10:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:10:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:10:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:10:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:10:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:10:25+02:00,23.02,63.06,98.0,0.0,23.49,101.2,8.0,454.0,3.0,41.396803000000006,2.194302,64.56,,209.0,9.0,8.0,8.0,8.0
2020-10-01 02:10:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:10:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:10:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:10:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:10:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:10:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:11:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:11:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:11:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:11:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:11:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:11:25+02:00,23.04,63.09,98.0,0.0,29.04,101.2,8.0,454.0,3.0,41.396813,2.1943189999999997,72.74,,206.0,9.0,5.0,6.0,6.0
2020-10-01 02:11:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:11:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:11:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:11:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:11:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:11:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:12:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:12:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:12:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:12:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:12:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:12:25+02:00,23.0,63.13,98.0,0.0,31.2,101.2,8.0,454.0,3.0,41.396794,2.194334,73.82,,191.0,10.0,6.0,8.0,8.0
2020-10-01 02:12:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:12:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:12:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:12:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:12:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:12:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:13:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:13:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:13:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:13:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:13:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:13:25+02:00,23.04,63.08,98.0,0.0,25.5,101.2,6.0,444.0,3.0,41.396665999999996,2.1944209999999997,96.57,,258.0,9.0,6.0,6.0,6.0
2020-10-01 02:13:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:13:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:13:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:13:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:13:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:13:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:14:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:14:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:14:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:14:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:14:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:14:25+02:00,23.01,63.14,98.0,0.0,27.34,101.2,6.0,444.0,3.0,41.396704,2.1944220000000003,98.24,,270.0,8.0,8.0,8.0,8.0
2020-10-01 02:14:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:14:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:14:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:14:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:14:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:14:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:15:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:15:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:15:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:15:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:15:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:15:25+02:00,23.02,63.07,98.0,0.0,26.21,101.2,6.0,444.0,3.0,41.396794,2.194356,98.83,,257.0,9.0,5.0,5.0,5.0
2020-10-01 02:15:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:15:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:15:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:15:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:15:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:15:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:16:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:16:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:16:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:16:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:16:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:16:25+02:00,23.02,63.12,98.0,0.0,27.49,101.2,8.0,454.0,3.0,41.396762,2.194444,99.52,,199.0,9.0,3.0,3.0,3.0
2020-10-01 02:16:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:16:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:16:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:16:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:16:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:16:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:17:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:17:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:17:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:17:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:17:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:17:25+02:00,23.0,63.13,98.0,0.0,24.61,101.2,6.0,441.0,3.0,41.39673,2.194451,103.38,,380.0,7.0,4.0,4.0,4.0
2020-10-01 02:17:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:17:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:17:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:17:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:17:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:17:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:18:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:18:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:18:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:18:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:18:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:18:25+02:00,23.01,63.09,98.0,0.0,28.67,101.2,6.0,441.0,3.0,41.396733000000005,2.194317,69.58,,258.0,8.0,6.0,7.0,7.0
2020-10-01 02:18:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:18:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:18:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:18:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:18:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:18:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:19:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:19:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:19:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:19:15+02:00,,,,,,,,,,,,,,,,,,
